idan,raza,Calpain_316_C,Calpain_530_G,EXON2FB_A,Leptin_A1457G_G,Leptin_C963T_A,Leptin_T945M_G,LeptinA59V_G,WSUCAST_A,BCNAB_G,BetaLact_G,GNSC319_C,GNSC355_G,UMD3.39263696_1_G,UMD3.39339348_1_A,Arachnomelia.BS_D,B.mannosidosis_G,Band3_G,BLAD_A,Citrullinemia_G,Dilated.Cardiomypoathy_G,a.raza,a.otro,a.CEB,a.NoCEB,Código de muestra,Fecha Analisis,Obs
BRAVA,BRA,0,2,0,0,0,2,2,1,A A,B B,A A,A A,0,1,Libre,Portador,Libre,Libre,Libre,Libre,85,15,85,15,MLA23-15514,4-ago,Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.Este gen interviene en la regulación del apetito y la deposición de grasa. Los alelos favorables permiten al individuo alcanzar el peso al sacrificio más rápido, desarrollar mayor marmóreo y en hembras puede incrementar la producción de leche.
T-BRAVA,BRA,0,2,0,1,0,2,2,2,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,91,9,91,9,MLA23-15515,4-ago,
29,BRA,0,2,0,1,0,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,1,0,1,0,MLA23-15501,4-ago,
37,GYRHOL,0,2,0,0,0,1,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,68,32,68,32,MLA23-15502,4-ago,
41,GYRHOL,0,2,0,1,0,1,2,1,A B,A B,A B,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,61,39,61,39,MLA23-15503,4-ago,
416-17,GYRHOL,1,2,1,2,1,1,2,1,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,49,51,49,2,MLA23-15504,4-ago,
412-17,GYRHOL,1,2,1,1,1,2,2,2,A A,A B,A A,A B,0,0,Libre,Libre,Libre,Libre,Libre,Libre,47,53,47,6,MLA23-15505,4-ago,
414-17,GYRHOL,1,2,1,1,1,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,45,55,45,1,MLA23-15506,4-ago,
196-14,GYRHOL,1,1,1,1,1,2,2,0,A B,A A,B B,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,42,58,42,16,MLA23-15507,4-ago,
1631-2,GYRHOL,1,2,0,1,0,2,2,0,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,74,26,74,26,MLA23-15508,4-ago,
2880-8,GYRHOL,0,2,0,1,0,2,1,2,A B,A B,B B,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,52,48,52,48,MLA23-15509,4-ago,
2163-9,GYRHOL,1,1,1,1,1,2,2,2,A A,B B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,5,5,5,5,MLA23-15510,4-ago,
GRISELDA,GYRHOL,1,2,1,1,1,2,2,0,A A,A B,A A,A B,0,1,Libre,Libre,Libre,Portador,Libre,Libre,42,58,42,58,MLA23-15511,4-ago,
1093-1,GYRHOL,0,2,0,1,0,1,1,2,A A,A A,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,7,3,7,3,MLA23-15512,4-ago,
2158-9,GYRHOL,0,2,1,1,1,2,2,0,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Portador,Libre,43,57,43,57,MLA23-15513,4-ago,
