idan,raza,Calpain_316_C,Calpain_530_G,EXON2FB_A,Leptin_A1457G_G,Leptin_C963T_A,Leptin_T945M_G,LeptinA59V_G,WSUCAST_A,BCNAB_G,BetaLact_G,GNSC319_C,GNSC355_G,UMD3.39263696_1_G,UMD3.39339348_1_A,Arachnomelia.BS_D,B.mannosidosis_G,Band3_G,BLAD_A,Citrullinemia_G,Dilated.Cardiomypoathy_G,a.raza,a.otro,a.CEB,a.NoCEB,Código de muestra,Fecha de llegada al laboratorio. Año- Mes-Día,Nombre de Usuario,Cédula,Dirección,Departamento,Municipio,Teléfono,No de solicitud,Finca,Vereda,Identificación de la muestra,Matriz,Fecha de toma de muestra  Año- Mes- Día,Observación,Tipo de análisis Compilado
BRAVA,BRA,0,2,0,0,0,2,2,1,A A,B B,A A,A A,0,1,Libre,Portador,Libre,Libre,Libre,Libre,0.85,0.15,0.85,0.15,,,,,,,,,,,,,,,,
T-BRAVA,BRA,0,2,0,1,0,2,2,2,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.91,0.09,0.91,0.09,,,,,,,,,,,,,,,,
29,BRA,0,2,0,1,0,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,1.0,0.0,1.0,0.0,MLA23-15501,2023-05-12,Innovagric S.A.S,901358715,Vereda Union Cacaya,Putumayo,Puerto Asís,3223194054,21,Villa Marcela,Union Cocaya,29,Sangre,2023-04-21,Bovino/Macho/ Brahaman,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
37,GYRHOL,0,2,0,0,0,1,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.68,0.32,0.68,0.32,MLA23-15502,2023-05-12,Innovagric S.A.S,901358715,Vereda Union Cacaya,Putumayo,Puerto Asís,3223194054,21,Villa Marcela,Union Cocaya,37,Sangre,2023-04-21,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
41,GYRHOL,0,2,0,1,0,1,2,1,A B,A B,A B,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.61,0.39,0.61,0.39,MLA23-15503,2023-05-12,Innovagric S.A.S,901358715,Vereda Union Cacaya,Putumayo,Puerto Asís,3223194054,21,Villa Marcela,Union Cocaya,41,Sangre,2023-04-21,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
416-17,GYRHOL,1,2,1,2,1,1,2,1,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.49,0.51,0.49,0.02,MLA23-15504,2023-05-12,Innovagric S.A.S,901358715,Vereda Cocaya,Putumayo,Puerto Asís,3223194054,21,Rancho Grande,Cocaya,416-17,Sangre,2023-04-18,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
412-17,GYRHOL,1,2,1,1,1,2,2,2,A A,A B,A A,A B,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.47,0.53,0.47,0.06,MLA23-15505,2023-05-12,Innovagric S.A.S,901358715,Vereda Cocaya,Putumayo,Puerto Asís,3223194054,21,Rancho Grande,Cocaya,412-17,Sangre,2023-04-18,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
414-17,GYRHOL,1,2,1,1,1,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.45,0.55,0.45,0.1,MLA23-15506,2023-05-12,Innovagric S.A.S,901358715,Vereda Cocaya,Putumayo,Puerto Asís,3223194054,21,Rancho Grande,Cocaya,414-17,Sangre,2023-04-18,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
196-14,GYRHOL,1,1,1,1,1,2,2,0,A B,A A,B B,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.42,0.58,0.42,0.16,MLA23-15272,2022-12-26,William Burgos Paz,No Indica,C.I. Tibaitatá,Cundinamarca,Bogotá,3187236862,3,Varias,Varias,196-14,Pelo,No Indica,196-14-Bovino / Gyr-Pelo Vista Hermosa,Extraccion Y Cuantificacion De ADN De Pelo . Genotipado con chip Bovine 100k
196-14,GYRHOL,1,1,1,1,1,2,2,0,A B,A A,B B,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.42,0.58,0.42,0.16,MLA23-15507,2023-05-12,Innovagric S.A.S,901358715,Vereda Cocaya,Putumayo,Puerto Asís,3223194054,21,Rancho Grande,Cocaya,196-14,Sangre,2023-04-18,Bovino/Hembra/ Gyrolando,"Extraccion Y Cuantificacion De ADN De Sangre Animal . Secuenciacion Sanger Fragmentos (< 500Pb Un Sentido) (LGM). PCR Para un solo gen y Visualizacion en gel de agarosa (LGM). Genotipado con chip Bovine 100k, identificación de las variantes del gen de la Beta-caseína"
