idan,raza,Calpain_316_C,Calpain_530_G,EXON2FB_A,Leptin_A1457G_G,Leptin_C963T_A,Leptin_T945M_G,LeptinA59V_G,WSUCAST_A,BCNAB_G,BetaLact_G,GNSC319_C,GNSC355_G,UMD3.39263696_1_G,UMD3.39339348_1_A,Arachnomelia.BS_D,B.mannosidosis_G,Band3_G,BLAD_A,Citrullinemia_G,Dilated.Cardiomypoathy_G,a.raza,a.otro,a.CEB,a.NoCEB
BRAVA,BRA,0,2,0,0,0,2,2,1,A A,B B,A A,A A,0,1,Libre,Portador,Libre,Libre,Libre,Libre,0.85,0.15,0.85,0.15
T-BRAVA,BRA,0,2,0,1,0,2,2,2,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.91,0.09,0.91,0.09
29,BRA,0,2,0,1,0,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,1.0,0.0,1.0,0.0
37,GYRHOL,0,2,0,0,0,1,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.68,0.32,0.68,0.32
41,GYRHOL,0,2,0,1,0,1,2,1,A B,A B,A B,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.61,0.39,0.61,0.39
416-17,GYRHOL,1,2,1,2,1,1,2,1,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.49,0.51,0.49,0.02
412-17,GYRHOL,1,2,1,1,1,2,2,2,A A,A B,A A,A B,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.47,0.53,0.47,0.06
414-17,GYRHOL,1,2,1,1,1,2,2,1,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.45,0.55,0.45,0.1
196-14,GYRHOL,1,1,1,1,1,2,2,0,A B,A A,B B,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.42,0.58,0.42,0.16
1631-2,GYRHOL,1,2,0,1,0,2,2,0,A A,A B,A A,A A,0,1,Libre,Libre,Libre,Libre,Libre,Libre,0.74,0.26,0.74,0.26
2880-8,GYRHOL,0,2,0,1,0,2,1,2,A B,A B,B B,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.52,0.48,0.52,0.48
2163-9,GYRHOL,1,1,1,1,1,2,2,2,A A,B B,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.5,0.5,0.5,0.5
GRISELDA,GYRHOL,1,2,1,1,1,2,2,0,A A,A B,A A,A B,0,1,Libre,Libre,Libre,Portador,Libre,Libre,0.42,0.58,0.42,0.58
1093-1,GYRHOL,0,2,0,1,0,1,1,2,A A,A A,A A,A A,0,0,Libre,Libre,Libre,Libre,Libre,Libre,0.7,0.3,0.7,0.3
2158-9,GYRHOL,0,2,1,1,1,2,2,0,A A,A B,A A,A A,0,0,Libre,Libre,Libre,Libre,Portador,Libre,0.43,0.57,0.43,0.57
